"date","open","high","low","close","volume","oi"
01/03/2014,182950,182975,182950,182950,26000,1
01/03/2014,182950,182950,182925,182925,261000,1
01/03/2014,182925,182975,182925,182950,278000,1
01/03/2014,182950,182950,182925,182950,135000,1
01/03/2014,182950,182975,182950,182950,34000,1
01/03/2014,182950,182975,182950,182950,38000,1
01/03/2014,182950,182975,182950,182975,359000,1
01/03/2014,182975,182975,182950,182950,97000,1
01/03/2014,182950,182975,182925,182975,597000,1
01/03/2014,182975,182975,182950,182950,266000,1
01/03/2014,182950,182975,182950,182950,22000,1
01/03/2014,182950,182975,182825,182850,295000,1
01/03/2014,182850,182900,182850,182900,774000,1
01/03/2014,182875,182900,182875,182900,488000,1
01/03/2014,182900,182900,182875,182900,90000,1
01/03/2014,182900,182900,182875,182900,157000,1
01/03/2014,182875,182900,182875,182900,54000,1
01/03/2014,182900,182900,182875,182900,102000,1
01/03/2014,182900,182900,182875,182875,379000,1
01/03/2014,182875,182900,182875,182875,568000,1
01/03/2014,182875,182925,182875,182925,242000,1
01/03/2014,182925,182950,182900,182925,655000,1
01/03/2014,182925,182950,182900,182925,394000,1
01/03/2014,182925,182925,182875,182900,849000,1
01/03/2014,182900,182925,182825,182850,2507000,1
01/03/2014,182850,182900,182825,182825,2558000,1
01/03/2014,182825,182900,182800,182875,3835000,1
01/03/2014,182850,182900,182800,182875,4074000,1
01/03/2014,182875,182950,182875,182925,3018000,1
01/03/2014,182900,183050,182900,183050,4137000,1
01/03/2014,183025,183150,183000,183150,5190000,1
01/03/2014,183150,183200,183150,183175,3647000,1
01/03/2014,183200,183200,183125,183125,2370000,1
01/03/2014,183125,183225,183125,183175,4473000,1
01/03/2014,183175,183175,183075,183100,3160000,1
01/03/2014,183100,183200,183100,183175,4167000,1
01/03/2014,183150,183150,183125,183125,2915000,1
01/03/2014,183150,183175,183150,183175,1237000,1
01/03/2014,183175,183175,183025,183050,4996000,1
01/03/2014,183050,183100,183025,183025,2877000,0
01/03/2014,183025,183100,183000,183000,3204000,0
01/03/2014,183000,183125,183000,183050,3434000,0
01/03/2014,183050,183175,183050,183125,2443000,0
01/03/2014,183125,183150,183100,183125,2778000,0
01/03/2014,183125,183175,183125,183150,1442000,1
01/03/2014,183150,183200,183125,183175,3123000,1
01/03/2014,183200,183200,183075,183100,2213000,1
01/03/2014,183100,183100,183025,183025,3017000,0
01/03/2014,183025,183075,183025,183050,992000,0
01/03/2014,183050,183100,183050,183050,1502000,0
01/03/2014,183050,183150,183050,183125,1075000,0
01/03/2014,183125,183150,183050,183075,1911000,0
01/03/2014,183075,183150,183075,183150,993000,0
01/03/2014,183150,183175,183100,183125,3200000,0
01/03/2014,183150,183200,183125,183200,1541000,1
01/03/2014,183200,183200,183150,183175,1398000,1
01/03/2014,183175,183275,183150,183275,1849000,1
01/03/2014,183250,183300,183200,183225,2462000,1
01/03/2014,183225,183250,183200,183250,1341000,1
01/03/2014,183250,183275,183175,183175,1769000,0
01/03/2014,183200,183200,183075,183100,1785000,0
01/03/2014,183100,183100,183025,183025,3418000,0
01/03/2014,183025,183125,183025,183075,2281000,0
01/03/2014,183075,183125,183050,183050,1863000,0
01/03/2014,183075,183150,183050,183125,2281000,0
